variable,importance
TOWNNO,0.04914908995334779
TRACT,0.0655759248308036
LON,0.054537091793153296
LAT,0.056376897299428345
CRIM,0.054734213811682766
ZN,0.06150206978119456
INDUS,0.06577304684933306
CHAS,0.05972797161442933
NOX,0.05098889545962284
RM,0.0655759248308036
AGE,0.060385045009527565
DIS,0.05946514225639004
RAD,0.0618963138182535
TAX,0.06091070372560615
PTRATIO,0.06261909455286155
B,0.05604836060187923
LSTAT,0.054734213811682766
