variable,importance
TOWNNO,0.05792858775261457
TRACT,0.06056220004570733
LON,0.05891891303638086
LAT,0.058287716701672675
CRIM,0.059332455462568975
ZN,0.0576674030623905
INDUS,0.05821153783369066
CHAS,0.05789593966633656
NOX,0.05789593966633656
RM,0.06073632317252338
AGE,0.05844007443763672
DIS,0.058309482092524685
RAD,0.05807006279315261
TAX,0.05959364015279305
PTRATIO,0.059963651797277154
B,0.058287716701672675
LSTAT,0.059898355624721136
